electrode_id,x_um,y_um,rms_uV,ptp_uV,peak_uV,latency_ms,duration_ms,ttmin_ms,ttmax_ms,delay_ms,speed_ms,filter,t_pre_s,t_post_s
29,4166.82991374526,-95.33606900379255,713.6114855830443,4125.898203199036,2725.8761689012877,2.766666666666667,7.633333333333332,4.366666666666667,6.233333333333333,5.366667078049073,34.48221905108793,No filter,0.001,0.02
30,-2737.834017250948,1630.8299137452595,986.776078062436,5332.840781511497,3633.1080207141795,2.6000000000000005,8.100000000000001,4.366666666666667,6.266666666666667,5.366667078049073,49.47927882215064,No filter,0.001,0.02
31,-1011.6680345018963,1630.8299137452595,947.0917430187233,5079.318731200563,3567.459314121432,2.6333333333333333,8.033333333333335,4.366666666666667,6.233333333333333,5.366667078049073,25.875140520873884,No filter,0.001,0.02
32,714.4979482471554,1630.8299137452595,919.6233411441432,4849.287572951741,3513.3256234485043,2.6000000000000005,8.100000000000001,4.366666666666667,6.233333333333333,5.366667078049073,51.64647600061032,No filter,0.001,0.02
33,2440.6639309962075,1630.8299137452595,935.2209048501751,4806.724216038032,3646.9474909204273,2.8666666666666667,7.666666666666669,4.366666666666667,6.233333333333333,5.366667078049073,0.0,No filter,0.001,0.02
0,-4464.0,-7000.0,36.400244859035695,179.66618169756345,110.43801545874577,-1.0,20.96666666666667,8.1,5.566666666666666,9.100000697561471,0.4576293739914367,IB2,0.001,0.02
1,-2737.834017250948,-7000.0,106.54744847720514,673.087900138898,458.58228203958856,3.5000000000000004,6.533333333333335,4.4,5.966666666666667,5.400000413937576,0.7791615661222968,IB2,0.001,0.02
2,-1011.6680345018963,-7000.0,186.74785999474224,1148.8588289634604,779.1168273739163,3.5333333333333337,16.433333333333334,4.333333333333334,5.866666666666667,5.333333742160569,1.6086826561692658,IB2,0.001,0.02
3,714.4979482471554,-7000.0,189.86250103303243,1260.8004921852323,852.4938404137329,3.266666666666667,6.166666666666669,4.166666666666667,5.733333333333333,5.166667062718051,1.6650727062737383,IB2,0.001,0.02
4,2440.6639309962075,-7000.0,161.15099062276835,1119.405243235293,680.3581127087298,3.3,3.5666666666666678,4.166666666666667,5.666666666666667,5.166667062718051,1.9176262202088104,IB2,0.001,0.02
5,4166.82991374526,-7000.0,59.58066172987686,283.69517860704735,232.87793893382394,-1.0,20.96666666666667,4.133333333333334,5.433333333333334,5.133333726829547,1.916640892339858,IB2,0.001,0.02
